数据集,模型,缺失率,预测长度,mse,mae
ETTh1,v1,30,96,0.4911985993385315,0.4895011782646179
ETTh1,v1,30,192,0.5602219700813293,0.5299312472343445
ETTh1,v1,30,336,0.6005392670631409,0.5534626841545105
ETTh1,v1,30,720,0.7471945881843567,0.6349658370018005
ETTh1,v1,50,96,0.6148561239242554,0.5564984679222107
ETTh1,v1,50,192,0.6738607883453369,0.5838374495506287
ETTh1,v1,50,336,0.7461934089660645,0.6198805570602417
ETTh1,v1,50,720,0.9570937752723694,0.7133063077926636
ETTh1,v1,80,96,1.6747568845748901,0.9111399054527283
ETTh1,v1,80,192,1.845838189125061,0.9676490426063538
ETTh1,v1,80,336,1.9851839542388916,1.008723258972168
ETTh1,v1,80,720,2.322817325592041,1.1166538000106812
ETTh2,DUET,0,96,0.18864570558071136,0.2983507812023163
ETTh2,DUET,0,96,0.18864570558071136,0.2983507812023163
ETTh2,DUET,0,192,0.23284296691417694,0.3306691646575928
ETTh2,DUET,0,192,0.23284296691417694,0.3306691646575928
ETTh2,DUET,0,336,0.26096296310424805,0.3542886972427368
ETTh2,DUET,0,336,0.26096296310424805,0.3542886972427368
ETTh2,DUET,0,720,0.3445482850074768,0.4097133278846741
ETTh2,DUET,0,720,0.3445482850074768,0.4097133278846741
ETTh2,DUET,5,96,0.16683191061019897,0.2895036041736603
ETTh2,DUET,5,96,0.16683191061019897,0.2895036041736603
ETTh2,DUET,5,192,0.18990394473075867,0.3062324821949005
ETTh2,DUET,5,192,0.18990394473075867,0.3062324821949005
ETTh2,DUET,5,336,0.2065545618534088,0.3210207521915436
ETTh2,DUET,5,336,0.2065545618534088,0.3210207521915436
ETTh2,DUET,5,720,0.28133848309516907,0.38004153966903687
ETTh2,DUET,5,720,0.28133848309516907,0.38004153966903687
ETTh2,DUET,10,96,0.15270963311195374,0.2834109961986542
ETTh2,DUET,10,96,0.15270963311195374,0.2834109961986542
ETTh2,DUET,10,192,0.1698380559682846,0.29707807302474976
ETTh2,DUET,10,192,0.1698380559682846,0.29707807302474976
ETTh2,DUET,10,336,0.18289461731910706,0.30846962332725525
ETTh2,DUET,10,336,0.18289461731910706,0.30846962332725525
ETTh2,DUET,10,720,0.22642317414283752,0.3437887132167816
ETTh2,DUET,10,720,0.22642317414283752,0.3437887132167816
ETTh2,DUET,20,96,0.21858608722686768,0.3491728901863098
ETTh2,DUET,20,96,0.21858608722686768,0.3491728901863098
ETTh2,DUET,20,192,0.16791747510433197,0.302909255027771
ETTh2,DUET,20,192,0.16791747510433197,0.302909255027771
ETTh2,DUET,20,336,0.2502385675907135,0.3741183578968048
ETTh2,DUET,20,336,0.2502385675907135,0.3741183578968048
ETTh2,DUET,20,720,0.22384034097194672,0.35622599720954895
ETTh2,DUET,20,720,0.22384034097194672,0.35622599720954895
