2026-05-01 21:13:28,372 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:13:28,426 - INFO - >>>>>>>start training : with_residual_decomposition_v2_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:16:07,638 - INFO - Epoch: 3 cost time: 23.00344443321228
2026-05-01 21:16:29,022 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4601
2026-05-01 21:16:29,192 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4556
2026-05-01 21:16:29,220 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4550
2026-05-01 21:16:29,233 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4456
2026-05-01 21:16:29,242 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4621
2026-05-01 21:16:29,252 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4572
2026-05-01 21:16:51,253 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4796
2026-05-01 21:16:51,392 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4302
2026-05-01 21:16:51,412 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4348
2026-05-01 21:16:51,423 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.5149
2026-05-01 21:16:51,433 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4931
2026-05-01 21:16:51,444 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4425
2026-05-01 21:16:51,454 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.5397
2026-05-01 21:16:51,466 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.5430
2026-05-01 21:16:51,476 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.5188
2026-05-01 21:16:51,487 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4977
2026-05-01 21:16:51,499 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4461
2026-05-01 21:16:51,509 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4668
2026-05-01 21:16:51,518 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4545
2026-05-01 21:16:51,527 - INFO - Y_seasonal mean abs: 1.4185, output mean abs: 0.4794
2026-05-01 21:16:52,205 - INFO - Epoch: 3, Steps: 46 | Train Loss: 0.4216667 Vali Loss: 0.3594630 Test Loss: 0.4634026
2026-05-01 21:16:52,205 - INFO - Validation loss decreased (0.369866 --> 0.359463).  Saving model ...
2026-05-01 21:16:52,210 - INFO - Updating learning rate to 0.001
2026-05-01 21:17:13,354 - INFO - Y_seasonal mean abs: 1.4298, output mean abs: 0.4708
2026-05-01 21:17:13,602 - INFO - Y_seasonal mean abs: 1.4287, output mean abs: 0.4785
2026-05-01 21:17:13,624 - INFO - Y_seasonal mean abs: 1.4266, output mean abs: 0.4746
2026-05-01 21:17:13,649 - INFO - Y_seasonal mean abs: 1.4248, output mean abs: 0.4669
2026-05-01 21:17:13,672 - INFO - Y_seasonal mean abs: 1.4215, output mean abs: 0.4660
2026-05-01 21:17:13,696 - INFO - Y_seasonal mean abs: 1.4238, output mean abs: 0.4588
2026-05-01 21:17:13,719 - INFO - Y_seasonal mean abs: 1.4239, output mean abs: 0.4698
2026-05-01 21:17:13,742 - INFO - Y_seasonal mean abs: 1.4174, output mean abs: 0.4757
2026-05-01 21:17:13,766 - INFO - Y_seasonal mean abs: 1.4163, output mean abs: 0.4806
2026-05-01 21:17:13,787 - INFO - Y_seasonal mean abs: 1.4129, output mean abs: 0.4821
2026-05-01 21:17:13,809 - INFO - Y_seasonal mean abs: 1.4090, output mean abs: 0.4762
2026-05-01 21:17:13,832 - INFO - Y_seasonal mean abs: 1.4052, output mean abs: 0.4885
2026-05-01 21:17:13,851 - INFO - Y_seasonal mean abs: 1.4036, output mean abs: 0.4947
