2026-05-01 22:16:05,749 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 22:16:05,801 - INFO - >>>>>>>start training : 取消Y_seasonal_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 22:18:43,373 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4788
2026-05-01 22:18:43,393 - INFO - Y_seasonal mean abs: 0.2777, output mean abs: 0.4804
2026-05-01 22:18:43,413 - INFO - Y_seasonal mean abs: 0.2785, output mean abs: 0.4821
2026-05-01 22:18:43,433 - INFO - Y_seasonal mean abs: 0.2772, output mean abs: 0.4700
2026-05-01 22:18:43,450 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4637
2026-05-01 22:18:43,470 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4634
2026-05-01 22:18:43,489 - INFO - Y_seasonal mean abs: 0.2771, output mean abs: 0.4654
2026-05-01 22:18:43,505 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4622
2026-05-01 22:18:43,526 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4675
2026-05-01 22:18:43,545 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4601
2026-05-01 22:18:43,565 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4684
2026-05-01 22:18:43,585 - INFO - Y_seasonal mean abs: 0.2776, output mean abs: 0.4802
2026-05-01 22:18:43,603 - INFO - Y_seasonal mean abs: 0.2777, output mean abs: 0.4834
2026-05-01 22:18:43,619 - INFO - Y_seasonal mean abs: 0.2776, output mean abs: 0.4786
2026-05-01 22:18:43,639 - INFO - Y_seasonal mean abs: 0.2784, output mean abs: 0.4851
2026-05-01 22:18:43,657 - INFO - Y_seasonal mean abs: 0.2776, output mean abs: 0.4883
2026-05-01 22:18:43,676 - INFO - Y_seasonal mean abs: 0.2773, output mean abs: 0.4927
2026-05-01 22:18:44,389 - INFO - Epoch: 3 cost time: 22.955501794815063
2026-05-01 22:19:05,617 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4694
2026-05-01 22:19:05,651 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4636
2026-05-01 22:19:05,714 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4640
2026-05-01 22:19:05,772 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4542
2026-05-01 22:19:05,785 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4709
2026-05-01 22:19:05,796 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4662
2026-05-01 22:19:27,662 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4895
2026-05-01 22:19:27,783 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4414
2026-05-01 22:19:27,795 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4478
2026-05-01 22:19:27,806 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.5307
2026-05-01 22:19:27,817 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.5037
2026-05-01 22:19:27,828 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4527
2026-05-01 22:19:27,838 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.5477
2026-05-01 22:19:27,848 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.5511
2026-05-01 22:19:27,858 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.5265
2026-05-01 22:19:27,869 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.5044
2026-05-01 22:19:27,878 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4522
2026-05-01 22:19:27,888 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4736
