2026-05-01 21:27:14,090 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:27:14,148 - INFO - >>>>>>>start training : 注意力只用周期且加tanh_96_96_TQNet_1_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:28:48,922 - INFO - Y_seasonal mean abs: 0.8184, output mean abs: 0.4638
2026-05-01 21:28:48,941 - INFO - Y_seasonal mean abs: 0.8189, output mean abs: 0.4627
2026-05-01 21:28:48,961 - INFO - Y_seasonal mean abs: 0.8197, output mean abs: 0.4643
2026-05-01 21:28:48,982 - INFO - Y_seasonal mean abs: 0.8196, output mean abs: 0.4572
2026-05-01 21:28:49,002 - INFO - Y_seasonal mean abs: 0.8212, output mean abs: 0.4691
2026-05-01 21:28:49,023 - INFO - Y_seasonal mean abs: 0.8203, output mean abs: 0.4718
2026-05-01 21:28:49,046 - INFO - Y_seasonal mean abs: 0.8224, output mean abs: 0.4812
2026-05-01 21:28:49,066 - INFO - Y_seasonal mean abs: 0.8218, output mean abs: 0.4810
2026-05-01 21:28:49,085 - INFO - Y_seasonal mean abs: 0.8227, output mean abs: 0.4884
2026-05-01 21:28:49,109 - INFO - Y_seasonal mean abs: 0.8231, output mean abs: 0.4933
2026-05-01 21:28:49,129 - INFO - Y_seasonal mean abs: 0.8243, output mean abs: 0.4915
2026-05-01 21:28:49,832 - INFO - Epoch: 2 cost time: 24.242623329162598
2026-05-01 21:29:11,737 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4791
2026-05-01 21:29:11,772 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4626
2026-05-01 21:29:11,848 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4750
2026-05-01 21:29:11,890 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4673
2026-05-01 21:29:11,951 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4728
2026-05-01 21:29:11,976 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4684
2026-05-01 21:29:34,554 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4903
